Name,Category,Type,Description,Requires Auth,Icon,Tags
"Discourse","Data Sources","Action","Consume Discourse API",Yes,📥,"Data Sources, Action, Auth Required"
"Disqus","Data Sources","Action","Access data on Disqus",Yes,📥,"Data Sources, Action, Auth Required"
"Dropbox","Data Sources","Action","Access data on Dropbox",Yes,📥,"Data Sources, Action, Auth Required"
"Emelia","Data Sources","Action","Consume the Emelia API",Yes,📥,"Data Sources, Action, Auth Required"
"Execution Data","Data Sources","Action","Add execution data for search",No,📥,"Data Sources, Action, No Auth"
"Extract from File","Data Sources","Action","Convert binary data to JSON",No,📥,"Data Sources, Action, No Auth"
"FileMaker","Data Sources","Action","Retrieve data from the FileMaker data API",Yes,📥,"Data Sources, Action, Auth Required"
"FTP","Data Sources","Action","Transfer files via FTP or SFTP",Yes,📥,"Data Sources, Action, Auth Required"
"GetResponse","Data Sources","Action","Consume GetResponse API",Yes,📥,"Data Sources, Action, Auth Required"
"Ghost","Data Sources","Action","Consume Ghost API",Yes,📥,"Data Sources, Action, Auth Required"
"GitHub","Data Sources","Action","Consume GitHub API",Yes,📥,"Data Sources, Action, Auth Required"
"GitLab","Data Sources","Action","Retrieve data from GitLab API",Yes,📥,"Data Sources, Action, Auth Required"
"Google BigQuery","Data Sources","Action","Consume Google BigQuery API",No,📥,"Data Sources, Action, No Auth"
"Google Books","Data Sources","Action","Read data from Google Books",Yes,📥,"Data Sources, Action, Auth Required"
"Google Business Profile","Data Sources","Action","Consume Google Business Profile API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Calendar","Data Sources","Action","Consume Google Calendar API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Chat","Data Sources","Action","Consume Google Chat API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Cloud Firestore","Data Sources","Action","Interact with Google Firebase - Cloud Firestore API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Cloud Natural Language","Data Sources","Action","Consume Google Cloud Natural Language API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Cloud Realtime Database","Data Sources","Action","Interact with Google Firebase - Realtime Database API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Contacts","Data Sources","Action","Consume Google Contacts API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Docs","Data Sources","Action","Consume Google Docs API.",Yes,📥,"Data Sources, Action, Auth Required"
"Google Drive","Data Sources","Action","Access data on Google Drive",No,📥,"Data Sources, Action, No Auth"
"Google Sheets","Data Sources","Action","Read, update and write data to Google Sheets",No,📥,"Data Sources, Action, No Auth"
"Google Slides","Data Sources","Action","Consume the Google Slides API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Tasks","Data Sources","Action","Consume Google Tasks API",Yes,📥,"Data Sources, Action, Auth Required"
"Google Translate","Data Sources","Action","Translate data using Google Translate",Yes,📥,"Data Sources, Action, Auth Required"
"Google Workspace Admin","Data Sources","Action","Consume Google Workspace Admin API",Yes,📥,"Data Sources, Action, Auth Required"
"Gotify","Data Sources","Action","Consume Gotify API",Yes,📥,"Data Sources, Action, Auth Required"
"GraphQL","Data Sources","Action","Makes a GraphQL request and returns the received data",Yes,📥,"Data Sources, Action, Auth Required"
"Grist","Data Sources","Action","Consume the Grist API",Yes,📥,"Data Sources, Action, Auth Required"
"HaloPSA","Data Sources","Action","Consume HaloPSA API",Yes,📥,"Data Sources, Action, Auth Required"
"Harvest","Data Sources","Action","Access data on Harvest",Yes,📥,"Data Sources, Action, Auth Required"
"Help Scout","Data Sources","Action","Consume Help Scout API",Yes,📥,"Data Sources, Action, Auth Required"
"iCalendar","Data Sources","Action","Create iCalendar file",No,📥,"Data Sources, Action, No Auth"
"Item Lists","Data Sources","Action","Helper for working with lists of items and transforming arrays",No,📥,"Data Sources, Action, No Auth"
"Iterable","Data Sources","Action","Consume Iterable API",Yes,📥,"Data Sources, Action, Auth Required"
"Keap","Data Sources","Action","Consume Keap API",Yes,📥,"Data Sources, Action, Auth Required"
"Line","Data Sources","Action","Consume Line API",Yes,📥,"Data Sources, Action, Auth Required"
"LinkedIn","Data Sources","Action","Consume LinkedIn API",Yes,📥,"Data Sources, Action, Auth Required"
"Magento 2","Data Sources","Action","Consume Magento API",Yes,📥,"Data Sources, Action, Auth Required"
"MailerLite","Data Sources","Action","Consume MailerLite API",No,📥,"Data Sources, Action, No Auth"
"Microsoft Dynamics CRM","Data Sources","Action","Consume Microsoft Dynamics CRM API",Yes,📥,"Data Sources, Action, Auth Required"
"Microsoft Excel 365","Data Sources","Action","Consume Microsoft Excel API",No,📥,"Data Sources, Action, No Auth"
"Microsoft OneDrive","Data Sources","Action","Consume Microsoft OneDrive API",Yes,📥,"Data Sources, Action, Auth Required"
"Microsoft SQL","Data Sources","Action","Get, add and update data in Microsoft SQL",Yes,📥,"Data Sources, Action, Auth Required"
"Microsoft Teams","Data Sources","Action","Consume Microsoft Teams API",No,📥,"Data Sources, Action, No Auth"
"Microsoft To Do","Data Sources","Action","Consume Microsoft To Do API.",Yes,📥,"Data Sources, Action, Auth Required"
"Mindee","Data Sources","Action","Consume Mindee API",Yes,📥,"Data Sources, Action, Auth Required"
"MongoDB","Data Sources","Action","Find, insert and update documents in MongoDB",Yes,📥,"Data Sources, Action, Auth Required"
"MQTT","Data Sources","Action","Push messages to MQTT",Yes,📥,"Data Sources, Action, Auth Required"
"MySQL","Data Sources","Action","Get, add and update data in MySQL",No,📥,"Data Sources, Action, No Auth"
"n8n Form","Data Sources","Action","Generate webforms in n8n and pass their responses to the workflow",No,📥,"Data Sources, Action, No Auth"
"Nextcloud","Data Sources","Action","Access data on Nextcloud",Yes,📥,"Data Sources, Action, Auth Required"
"NocoDB","Data Sources","Action","Read, update, write and delete data from NocoDB",Yes,📥,"Data Sources, Action, Auth Required"
"Npm","Data Sources","Action","Consume NPM registry API",Yes,📥,"Data Sources, Action, Auth Required"
"Onfleet","Data Sources","Action","Consume Onfleet API",Yes,📥,"Data Sources, Action, Auth Required"
"OpenWeatherMap","Data Sources","Action","Gets current and future weather information",Yes,📥,"Data Sources, Action, Auth Required"
"Oracle Database","Data Sources","Action","Get, add and update data in Oracle database",Yes,📥,"Data Sources, Action, Auth Required"
"Phantombuster","Data Sources","Action","Consume Phantombuster API",Yes,📥,"Data Sources, Action, Auth Required"
"Philips Hue","Data Sources","Action","Consume Philips Hue API",Yes,📥,"Data Sources, Action, Auth Required"
"Postgres","Data Sources","Action","Get, add and update data in Postgres",No,📥,"Data Sources, Action, No Auth"
"PostHog","Data Sources","Action","Consume PostHog API",Yes,📥,"Data Sources, Action, Auth Required"
"Pushbullet","Data Sources","Action","Consume Pushbullet API",Yes,📥,"Data Sources, Action, Auth Required"
"Pushcut","Data Sources","Action","Consume Pushcut API",Yes,📥,"Data Sources, Action, Auth Required"
"Pushover","Data Sources","Action","Consume Pushover API",Yes,📥,"Data Sources, Action, Auth Required"
"QuestDB","Data Sources","Action","Get, add and update data in QuestDB",Yes,📥,"Data Sources, Action, Auth Required"
"Quick Base","Data Sources","Action","Integrate with the Quick Base RESTful API",Yes,📥,"Data Sources, Action, Auth Required"
"Read Binary File","Data Sources","Action","Reads a binary file from disk",No,📥,"Data Sources, Action, No Auth"
"Read Binary Files","Data Sources","Action","Reads binary files from disk",No,📥,"Data Sources, Action, No Auth"
"Read PDF","Data Sources","Action","Reads a PDF and extracts its content",No,📥,"Data Sources, Action, No Auth"
"Read/Write Files from Disk","Data Sources","Action","Read or write files from the computer that runs n8n",No,📥,"Data Sources, Action, No Auth"
"Redis","Data Sources","Action","Get, send and update data in Redis",Yes,📥,"Data Sources, Action, Auth Required"
"RSS Read","Data Sources","Action","Reads data from an RSS Feed",No,📥,"Data Sources, Action, No Auth"
"Sendy","Data Sources","Action","Consume Sendy API",Yes,📥,"Data Sources, Action, Auth Required"
"Set","Data Sources","Action","Add or edit fields on an input item and optionally remove other fields",No,📥,"Data Sources, Action, No Auth"
"Snowflake","Data Sources","Action","Get, add and update data in Snowflake",Yes,📥,"Data Sources, Action, Auth Required"
"Spotify","Data Sources","Action","Access public song data via the Spotify API",Yes,📥,"Data Sources, Action, Auth Required"
"SSH","Data Sources","Action","Execute commands via SSH",Yes,📥,"Data Sources, Action, Auth Required"
"Start","Data Sources","Action","Starts the workflow execution from this node",No,📥,"Data Sources, Action, No Auth"
"Sticky Note","Data Sources","Action","Make your workflow easier to understand",No,📥,"Data Sources, Action, No Auth"
"Stop and Error","Data Sources","Action","Throw an error in the workflow",No,📥,"Data Sources, Action, No Auth"
"Strapi","Data Sources","Action","Consume Strapi API",Yes,📥,"Data Sources, Action, Auth Required"
"Strava","Data Sources","Action","Consume Strava API",Yes,📥,"Data Sources, Action, Auth Required"
"Supabase","Data Sources","Action","Add, get, delete and update data in a table",Yes,📥,"Data Sources, Action, Auth Required"
"TimescaleDB","Data Sources","Action","Add and update data in TimescaleDB",Yes,📥,"Data Sources, Action, Auth Required"
"Twist","Data Sources","Action","Consume Twist API",Yes,📥,"Data Sources, Action, Auth Required"
"Venafi TLS Protect Cloud","Data Sources","Action","Consume Venafi TLS Protect Cloud API",Yes,📥,"Data Sources, Action, Auth Required"
"Venafi TLS Protect Datacenter","Data Sources","Action","Consume Venafi TLS Protect Datacenter",Yes,📥,"Data Sources, Action, Auth Required"
"Vonage","Data Sources","Action","Consume Vonage API",Yes,📥,"Data Sources, Action, Auth Required"
"Yourls","Data Sources","Action","Consume Yourls API",Yes,📥,"Data Sources, Action, Auth Required"
"YouTube","Data Sources","Action","Consume YouTube API",Yes,📥,"Data Sources, Action, Auth Required"
"Zammad","Data Sources","Action","Consume the Zammad API",Yes,📥,"Data Sources, Action, Auth Required"
"Zoom","Data Sources","Action","Consume Zoom API",Yes,📥,"Data Sources, Action, Auth Required"
"Affinity","Data Destinations","Action","Consume Affinity API",Yes,📤,"Data Destinations, Action, Auth Required"
"AWS Certificate Manager","Data Destinations","Action","Sends data to AWS Certificate Manager",No,📤,"Data Destinations, Action, No Auth"
"AWS Cognito","Data Destinations","Action","Sends data to AWS Cognito",Yes,📤,"Data Destinations, Action, Auth Required"
"AWS Comprehend","Data Destinations","Action","Sends data to Amazon Comprehend",No,📤,"Data Destinations, Action, No Auth"
"AWS ELB","Data Destinations","Action","Sends data to AWS ELB API",No,📤,"Data Destinations, Action, No Auth"
"AWS IAM","Data Destinations","Action","Interacts with Amazon IAM",Yes,📤,"Data Destinations, Action, Auth Required"
"AWS Lambda","Data Destinations","Action","Invoke functions on AWS Lambda",No,📤,"Data Destinations, Action, No Auth"
"AWS Rekognition","Data Destinations","Action","Sends data to AWS Rekognition",No,📤,"Data Destinations, Action, No Auth"
"AWS SES","Data Destinations","Action","Sends data to AWS SES",No,📤,"Data Destinations, Action, No Auth"
"AWS SNS","Data Destinations","Action","Sends data to AWS SNS",No,📤,"Data Destinations, Action, No Auth"
"AWS SQS","Data Destinations","Action","Sends messages to AWS SQS",No,📤,"Data Destinations, Action, No Auth"
"AWS Textract","Data Destinations","Action","Sends data to Amazon Textract",No,📤,"Data Destinations, Action, No Auth"
"AWS Transcribe","Data Destinations","Action","Sends data to AWS Transcribe",Yes,📤,"Data Destinations, Action, Auth Required"
"AwsS3","Data Destinations","Action","Sends data to AWS S3",No,📤,"Data Destinations, Action, No Auth"
"Bannerbear","Data Destinations","Action","Consume Bannerbear API",Yes,📤,"Data Destinations, Action, Auth Required"
"Baserow","Data Destinations","Action","Consume the Baserow API",Yes,📤,"Data Destinations, Action, Auth Required"
"Beeminder","Data Destinations","Action","Consume Beeminder API",Yes,📤,"Data Destinations, Action, Auth Required"
"Bitly","Data Destinations","Action","Consume Bitly API",Yes,📤,"Data Destinations, Action, Auth Required"
"Brandfetch","Data Destinations","Action","Consume Brandfetch API",Yes,📤,"Data Destinations, Action, Auth Required"
"CircleCI","Data Destinations","Action","Consume CircleCI API",Yes,📤,"Data Destinations, Action, Auth Required"
"Clearbit","Data Destinations","Action","Consume Clearbit API",Yes,📤,"Data Destinations, Action, Auth Required"
"ClickUp","Data Destinations","Action","Consume ClickUp API (Beta)",Yes,📤,"Data Destinations, Action, Auth Required"
"Cockpit","Data Destinations","Action","Consume Cockpit API",Yes,📤,"Data Destinations, Action, Auth Required"
"Coda","Data Destinations","Action","Consume Coda API",Yes,📤,"Data Destinations, Action, Auth Required"
"CoinGecko","Data Destinations","Action","Consume CoinGecko API",No,📤,"Data Destinations, Action, No Auth"
"Customer.io","Data Destinations","Action","Consume Customer.io API",Yes,📤,"Data Destinations, Action, Auth Required"
"DebugHelper","Data Destinations","Action","Causes problems intentionally and generates useful data for debugging",No,📤,"Data Destinations, Action, No Auth"
"Demio","Data Destinations","Action","Consume the Demio API",Yes,📤,"Data Destinations, Action, Auth Required"
"Discord","Data Destinations","Action","Sends data to Discord",No,📤,"Data Destinations, Action, No Auth"
"Drift","Data Destinations","Action","Consume Drift API",Yes,📤,"Data Destinations, Action, Auth Required"
"E-goi","Data Destinations","Action","Consume E-goi API",Yes,📤,"Data Destinations, Action, Auth Required"
"E2E Test","Data Destinations","Action","Dummy node used for e2e testing",No,📤,"Data Destinations, Action, No Auth"
"ERPNext","Data Destinations","Action","Consume ERPNext API",Yes,📤,"Data Destinations, Action, Auth Required"
"Flow","Data Destinations","Action","Consume Flow API",Yes,📤,"Data Destinations, Action, Auth Required"
"Freshdesk","Data Destinations","Action","Consume Freshdesk API",Yes,📤,"Data Destinations, Action, Auth Required"
"Home Assistant","Data Destinations","Action","Consume Home Assistant API",Yes,📤,"Data Destinations, Action, Auth Required"
"HTTP Request","Data Destinations","Action","Makes an HTTP request and returns the response data",No,📤,"Data Destinations, Action, No Auth"
"HubSpot","Data Destinations","Action","Consume HubSpot API",No,📤,"Data Destinations, Action, No Auth"
"Humantic AI","Data Destinations","Action","Consume Humantic AI API",Yes,📤,"Data Destinations, Action, Auth Required"
"Hunter","Data Destinations","Action","Consume Hunter API",Yes,📤,"Data Destinations, Action, Auth Required"
"Intercom","Data Destinations","Action","Consume Intercom API",Yes,📤,"Data Destinations, Action, Auth Required"
"Invoice Ninja","Data Destinations","Action","Consume Invoice Ninja API",Yes,📤,"Data Destinations, Action, Auth Required"
"Jenkins","Data Destinations","Action","Consume Jenkins API",Yes,📤,"Data Destinations, Action, Auth Required"
"Jira Software","Data Destinations","Action","Consume Jira Software API",Yes,📤,"Data Destinations, Action, Auth Required"
"Linear","Data Destinations","Action","Consume Linear API",Yes,📤,"Data Destinations, Action, Auth Required"
"LingvaNex","Data Destinations","Action","Consume LingvaNex API",Yes,📤,"Data Destinations, Action, Auth Required"
"Mailchimp","Data Destinations","Action","Consume Mailchimp API",Yes,📤,"Data Destinations, Action, Auth Required"
"Mailgun","Data Destinations","Action","Sends an email via Mailgun",Yes,📤,"Data Destinations, Action, Auth Required"
"Mailjet","Data Destinations","Action","Consume Mailjet API",Yes,📤,"Data Destinations, Action, Auth Required"
"Mandrill","Data Destinations","Action","Consume Mandrill API",Yes,📤,"Data Destinations, Action, Auth Required"
"Markdown","Data Destinations","Action","Convert data between Markdown and HTML",No,📤,"Data Destinations, Action, No Auth"
"Matrix","Data Destinations","Action","Consume Matrix API",Yes,📤,"Data Destinations, Action, Auth Required"
"Mattermost","Data Destinations","Action","Sends data to Mattermost",No,📤,"Data Destinations, Action, No Auth"
"Mautic","Data Destinations","Action","Consume Mautic API",Yes,📤,"Data Destinations, Action, Auth Required"
"Medium","Data Destinations","Action","Consume Medium API",Yes,📤,"Data Destinations, Action, Auth Required"
"MessageBird","Data Destinations","Action","Sends SMS via MessageBird",Yes,📤,"Data Destinations, Action, Auth Required"
"Monday.com","Data Destinations","Action","Consume Monday.com API",Yes,📤,"Data Destinations, Action, Auth Required"
"Netscaler ADC","Data Destinations","Action","Consume Netscaler ADC API",Yes,📤,"Data Destinations, Action, Auth Required"
"Notion","Data Destinations","Action","Consume Notion API",No,📤,"Data Destinations, Action, No Auth"
"OpenThesaurus","Data Destinations","Action","Get synonmns for German words using the OpenThesaurus API",No,📤,"Data Destinations, Action, No Auth"
"Orbit","Data Destinations","Action","Consume Orbit API",Yes,📤,"Data Destinations, Action, Auth Required"
"Oura","Data Destinations","Action","Consume Oura API",Yes,📤,"Data Destinations, Action, Auth Required"
"Paddle","Data Destinations","Action","Consume Paddle API",Yes,📤,"Data Destinations, Action, Auth Required"
"PagerDuty","Data Destinations","Action","Consume PagerDuty API",Yes,📤,"Data Destinations, Action, Auth Required"
"PayPal","Data Destinations","Action","Consume PayPal API",Yes,📤,"Data Destinations, Action, Auth Required"
"Peekalink","Data Destinations","Action","Consume the Peekalink API",Yes,📤,"Data Destinations, Action, Auth Required"
"ProfitWell","Data Destinations","Action","Consume ProfitWell API",Yes,📤,"Data Destinations, Action, Auth Required"
"QuickChart","Data Destinations","Action","Create a chart via QuickChart",No,📤,"Data Destinations, Action, No Auth"
"RocketChat","Data Destinations","Action","Consume RocketChat API",Yes,📤,"Data Destinations, Action, Auth Required"
"S3","Data Destinations","Action","Sends data to any S3-compatible service",Yes,📤,"Data Destinations, Action, Auth Required"
"Salesforce","Data Destinations","Action","Consume Salesforce API",Yes,📤,"Data Destinations, Action, Auth Required"
"Salesmate","Data Destinations","Action","Consume Salesmate API",Yes,📤,"Data Destinations, Action, Auth Required"
"SeaTable","Data Destinations","Action","Read, update, write and delete data from SeaTable",No,📤,"Data Destinations, Action, No Auth"
"Segment","Data Destinations","Action","Consume Segment API",Yes,📤,"Data Destinations, Action, Auth Required"
"Send Email","Data Destinations","Action","Sends an email using SMTP protocol",No,📤,"Data Destinations, Action, No Auth"
"Sentry.io","Data Destinations","Action","Consume Sentry.io API",Yes,📤,"Data Destinations, Action, Auth Required"
"ServiceNow","Data Destinations","Action","Consume ServiceNow API",Yes,📤,"Data Destinations, Action, Auth Required"
"Shopify","Data Destinations","Action","Consume Shopify API",Yes,📤,"Data Destinations, Action, Auth Required"
"Slack","Data Destinations","Action","Consume Slack API",No,📤,"Data Destinations, Action, No Auth"
"Storyblok","Data Destinations","Action","Consume Storyblok API",Yes,📤,"Data Destinations, Action, Auth Required"
"SyncroMSP","Data Destinations","Action","Manage contacts, tickets and more from Syncro MSP",No,📤,"Data Destinations, Action, No Auth"
"Telegram","Data Destinations","Action","Sends data to Telegram",Yes,📤,"Data Destinations, Action, Auth Required"
"Todoist","Data Destinations","Action","Consume Todoist API",No,📤,"Data Destinations, Action, No Auth"
"TravisCI","Data Destinations","Action","Consume TravisCI API",Yes,📤,"Data Destinations, Action, Auth Required"
"Uplead","Data Destinations","Action","Consume Uplead API",Yes,📤,"Data Destinations, Action, Auth Required"
"uProc","Data Destinations","Action","Consume uProc API",Yes,📤,"Data Destinations, Action, Auth Required"
"UptimeRobot","Data Destinations","Action","Consume UptimeRobot API",Yes,📤,"Data Destinations, Action, Auth Required"
"Vero","Data Destinations","Action","Consume Vero API",Yes,📤,"Data Destinations, Action, Auth Required"
"WhatsApp Business Cloud","Data Destinations","Action","Access WhatsApp API",No,📤,"Data Destinations, Action, No Auth"
"WooCommerce","Data Destinations","Action","Consume WooCommerce API",Yes,📤,"Data Destinations, Action, Auth Required"
"Wordpress","Data Destinations","Action","Consume Wordpress API",Yes,📤,"Data Destinations, Action, Auth Required"
"Write Binary File","Data Destinations","Action","Writes a binary file to disk",No,📤,"Data Destinations, Action, No Auth"
"X (Formerly Twitter)","Data Destinations","Action","Consume the X API",No,📤,"Data Destinations, Action, No Auth"
"Xero","Data Destinations","Action","Consume Xero API",Yes,📤,"Data Destinations, Action, Auth Required"
"Zendesk","Data Destinations","Action","Consume Zendesk API",Yes,📤,"Data Destinations, Action, Auth Required"
"Zulip","Data Destinations","Action","Consume Zulip API",Yes,📤,"Data Destinations, Action, Auth Required"
"No Operation, do nothing","Flow Control","Action","No Operation",No,🗂️,"Flow Control, Action, No Auth"
"Simulate","Flow Control","Action","Simulate a node",No,🗂️,"Flow Control, Action, No Auth"
"Split In Batches","Flow Control","Action","Split data into batches and iterate over each batch",No,🗂️,"Flow Control, Action, No Auth"
"Track Time Saved","Flow Control","Action","Dynamically track time saved based on the workflow’s execution path and the number of items processed",No,🗂️,"Flow Control, Action, No Auth"
"Wait","Flow Control","Action","Wait before continue with execution",No,🗂️,"Flow Control, Action, No Auth"
